Qty,designator,footprint,comment,LCSC Part#
1,C1,CAP-0805,100NF 50V 0805,C49678
1,C2,CAP-0805,1UF 50V 0805 ROHS,C28323
2,"R1,R2",0805_R,4K7 OHMS ±1% 1/8W 0805 ROHS,C17673
2,"R3,R4",0805_R,470 OHMS ±1% 1/8W 0805 ROHS,"C17710	"
